"Grant ID","to","from","Amount","Recipient ID","Funder ID","Start year","End year"
"4739","Michigan Urban Farming Initiative (MUFI)","Scotts Miracle-Gro","40000","4737","4738","Sun, 01 Feb 2015 00:00:00 -0500","Mon, 01 Feb 2016 00:00:00 -0500"
"4736","Sherwood Prototype","New Economy Initiative","100000","4735","388","Sun, 01 Feb 2015 00:00:00 -0500","Mon, 01 Feb 2016 00:00:00 -0500"
"4734","J&G Pallets and Trucking","New Economy Initiative","100000","4733","388","Sun, 01 Feb 2015 00:00:00 -0500","Mon, 01 Feb 2016 00:00:00 -0500"
"4732","Midnight Golf Program","Detroit Employment Solutions Corporation","350000","363","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4731","Youth Connection, Inc","Detroit Employment Solutions Corporation","340748","558","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4730","Youth Development Commission","Detroit Employment Solutions Corporation","2710667","559","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4729","YMCA of Metropolitan Detroit","Detroit Employment Solutions Corporation","350000","555","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4728","SER Metro Detroit Jobs for Progress, Inc","Detroit Employment Solutions Corporation","350000","449","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4727","Detroit Public Schools","Detroit Employment Solutions Corporation","369047","4637","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"4726","Downriver Community Conference","Detroit Employment Solutions Corporation","3637535","4725","4705","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
